"state","region","division","region_code","region_name"
"CO","West","Mountain","C08031","Denver County, CO"
"CO","West","Mountain","C08033","Dolores County, CO"
"CO","West","Mountain","C08035","Douglas County, CO"
"CO","West","Mountain","C08037","Eagle County, CO"
"CO","West","Mountain","C08041","El Paso County, CO"
"CO","West","Mountain","C08039","Elbert County, CO"
"CO","West","Mountain","C08043","Fremont County, CO"
"CO","West","Mountain","C08045","Garfield County, CO"
"CO","West","Mountain","C08047","Gilpin County, CO"
"CO","West","Mountain","C08049","Grand County, CO"
"CO","West","Mountain","C08051","Gunnison County, CO"
"CO","West","Mountain","C08053","Hinsdale County, CO"
"CO","West","Mountain","C08055","Huerfano County, CO"
"CO","West","Mountain","C08057","Jackson County, CO"
"CO","West","Mountain","C08059","Jefferson County, CO"
"CO","West","Mountain","C08061","Kiowa County, CO"
"CO","West","Mountain","C08063","Kit Carson County, CO"
"CO","West","Mountain","C08067","La Plata County, CO"
"CO","West","Mountain","C08065","Lake County, CO"
"CO","West","Mountain","C08069","Larimer County, CO"
"CO","West","Mountain","C08071","Las Animas County, CO"
"CO","West","Mountain","C08073","Lincoln County, CO"
"CO","West","Mountain","C08075","Logan County, CO"
"CO","West","Mountain","C08077","Mesa County, CO"
"CO","West","Mountain","C08079","Mineral County, CO"
"CO","West","Mountain","C08081","Moffat County, CO"
"CO","West","Mountain","C08083","Montezuma County, CO"
"CO","West","Mountain","C08085","Montrose County, CO"
"CO","West","Mountain","C08087","Morgan County, CO"
"CO","West","Mountain","C08089","Otero County, CO"
"CO","West","Mountain","C08091","Ouray County, CO"
"CO","West","Mountain","C08093","Park County, CO"
"CO","West","Mountain","C08095","Phillips County, CO"
"CO","West","Mountain","C08097","Pitkin County, CO"
"CO","West","Mountain","C08099","Prowers County, CO"
"CO","West","Mountain","C08101","Pueblo County, CO"
"CO","West","Mountain","C08103","Rio Blanco County, CO"
"CO","West","Mountain","C08105","Rio Grande County, CO"
"CO","West","Mountain","C08107","Routt County, CO"
"CO","West","Mountain","C08109","Saguache County, CO"
"CO","West","Mountain","C08111","San Juan County, CO"
"CO","West","Mountain","C08113","San Miguel County, CO"
"CO","West","Mountain","C08115","Sedgwick County, CO"
"CO","West","Mountain","C08117","Summit County, CO"
"CO","West","Mountain","C08119","Teller County, CO"
"CO","West","Mountain","C08121","Washington County, CO"
"CO","West","Mountain","C08123","Weld County, CO"
"CO","West","Mountain","C08125","Yuma County, CO"
"CT","Northeast","New England","C09001","Fairfield County, CT"
"CT","Northeast","New England","C09003","Hartford County, CT"
"CT","Northeast","New England","C09005","Litchfield County, CT"
"CT","Northeast","New England","C09007","Middlesex County, CT"
"CT","Northeast","New England","C09009","New Haven County, CT"
"CT","Northeast","New England","C09011","New London County, CT"
"CT","Northeast","New England","C09013","Tolland County, CT"
"CT","Northeast","New England","C09015","Windham County, CT"
"DE","South","South Atlantic","C10001","Kent County, DE"
"DE","South","South Atlantic","C10003","New Castle County, DE"
"DE","South","South Atlantic","C10005","Sussex County, DE"
"FL","South","South Atlantic","C12001","Alachua County, FL"
"FL","South","South Atlantic","C12003","Baker County, FL"
"FL","South","South Atlantic","C12005","Bay County, FL"
"FL","South","South Atlantic","C12007","Bradford County, FL"
"FL","South","South Atlantic","C12009","Brevard County, FL"
"FL","South","South Atlantic","C12011","Broward County, FL"
"FL","South","South Atlantic","C12013","Calhoun County, FL"
"FL","South","South Atlantic","C12015","Charlotte County, FL"
"FL","South","South Atlantic","C12017","Citrus County, FL"
"FL","South","South Atlantic","C12019","Clay County, FL"
"FL","South","South Atlantic","C12021","Collier County, FL"
"FL","South","South Atlantic","C12023","Columbia County, FL"
"FL","South","South Atlantic","C12027","DeSoto County, FL"
"FL","South","South Atlantic","C12029","Dixie County, FL"
"FL","South","South Atlantic","C12031","Duval County, FL"
"FL","South","South Atlantic","C12033","Escambia County, FL"
"FL","South","South Atlantic","C12035","Flagler County, FL"
"FL","South","South Atlantic","C12037","Franklin County, FL"
"FL","South","South Atlantic","C12039","Gadsden County, FL"
"FL","South","South Atlantic","C12041","Gilchrist County, FL"
"FL","South","South Atlantic","C12043","Glades County, FL"
"FL","South","South Atlantic","C12045","Gulf County, FL"
"FL","South","South Atlantic","C12047","Hamilton County, FL"
"FL","South","South Atlantic","C12049","Hardee County, FL"
"FL","South","South Atlantic","C12051","Hendry County, FL"
"FL","South","South Atlantic","C12053","Hernando County, FL"
"FL","South","South Atlantic","C12055","Highlands County, FL"
"FL","South","South Atlantic","C12057","Hillsborough County, FL"
"FL","South","South Atlantic","C12059","Holmes County, FL"
"FL","South","South Atlantic","C12061","Indian River County, FL"
"FL","South","South Atlantic","C12063","Jackson County, FL"
"FL","South","South Atlantic","C12065","Jefferson County, FL"
"FL","South","South Atlantic","C12067","Lafayette County, FL"
"FL","South","South Atlantic","C12069","Lake County, FL"
"FL","South","South Atlantic","C12071","Lee County, FL"
"FL","South","South Atlantic","C12073","Leon County, FL"
"FL","South","South Atlantic","C12075","Levy County, FL"
"FL","South","South Atlantic","C12077","Liberty County, FL"
"FL","South","South Atlantic","C12079","Madison County, FL"
"FL","South","South Atlantic","C12081","Manatee County, FL"
"FL","South","South Atlantic","C12083","Marion County, FL"
"FL","South","South Atlantic","C12085","Martin County, FL"
"FL","South","South Atlantic","C12086","Miami-Dade County, FL"
"FL","South","South Atlantic","C12087","Monroe County, FL"
"FL","South","South Atlantic","C12089","Nassau County, FL"
"FL","South","South Atlantic","C12091","Okaloosa County, FL"
"FL","South","South Atlantic","C12093","Okeechobee County, FL"
"FL","South","South Atlantic","C12095","Orange County, FL"
"FL","South","South Atlantic","C12097","Osceola County, FL"
"FL","South","South Atlantic","C12099","Palm Beach County, FL"
"FL","South","South Atlantic","C12101","Pasco County, FL"
"FL","South","South Atlantic","C12103","Pinellas County, FL"
"FL","South","South Atlantic","C12105","Polk County, FL"
"FL","South","South Atlantic","C12107","Putnam County, FL"
"FL","South","South Atlantic","C12113","Santa Rosa County, FL"
"FL","South","South Atlantic","C12115","Sarasota County, FL"
"FL","South","South Atlantic","C12117","Seminole County, FL"
"FL","South","South Atlantic","C12109","St. Johns County, FL"
"FL","South","South Atlantic","C12111","St. Lucie County, FL"
"FL","South","South Atlantic","C12119","Sumter County, FL"
"FL","South","South Atlantic","C12121","Suwannee County, FL"
"FL","South","South Atlantic","C12123","Taylor County, FL"
"FL","South","South Atlantic","C12125","Union County, FL"
"FL","South","South Atlantic","C12127","Volusia County, FL"
"FL","South","South Atlantic","C12129","Wakulla County, FL"
"FL","South","South Atlantic","C12131","Walton County, FL"
"FL","South","South Atlantic","C12133","Washington County, FL"
"GA","South","South Atlantic","C13001","Appling County, GA"
"GA","South","South Atlantic","C13003","Atkinson County, GA"
"GA","South","South Atlantic","C13005","Bacon County, GA"
"GA","South","South Atlantic","C13007","Baker County, GA"
"GA","South","South Atlantic","C13009","Baldwin County, GA"
"GA","South","South Atlantic","C13011","Banks County, GA"
"GA","South","South Atlantic","C13013","Barrow County, GA"
"GA","South","South Atlantic","C13015","Bartow County, GA"
"GA","South","South Atlantic","C13017","Ben Hill County, GA"
"GA","South","South Atlantic","C13019","Berrien County, GA"
"GA","South","South Atlantic","C13021","Bibb County, GA"
"GA","South","South Atlantic","C13023","Bleckley County, GA"
"GA","South","South Atlantic","C13025","Brantley County, GA"
"GA","South","South Atlantic","C13027","Brooks County, GA"
"GA","South","South Atlantic","C13029","Bryan County, GA"
"GA","South","South Atlantic","C13031","Bulloch County, GA"
"GA","South","South Atlantic","C13033","Burke County, GA"
"GA","South","South Atlantic","C13035","Butts County, GA"
"GA","South","South Atlantic","C13037","Calhoun County, GA"
"GA","South","South Atlantic","C13039","Camden County, GA"
"GA","South","South Atlantic","C13043","Candler County, GA"
"GA","South","South Atlantic","C13045","Carroll County, GA"
"GA","South","South Atlantic","C13047","Catoosa County, GA"
"GA","South","South Atlantic","C13049","Charlton County, GA"
"GA","South","South Atlantic","C13051","Chatham County, GA"
"GA","South","South Atlantic","C13053","Chattahoochee County, GA"
"GA","South","South Atlantic","C13055","Chattooga County, GA"
